iter	MAE
248	38.50314727
249	38.45892582
250	38.41575185
251	38.38999388
252	38.37155069
253	38.31588922
254	38.24037513
255	38.22542108
256	38.16294634
257	38.12153836
258	38.06016819
259	38.03546423
260	37.98491957
261	37.92480575
262	37.88424282
263	37.84535932
264	37.71350762
265	37.6633116
266	37.63021192
267	37.60664641
268	37.58776678
269	37.535756
270	37.49396743
271	37.48031904
272	37.46948067
273	37.45085295
274	37.41226935
275	37.39410026
276	37.3859793
277	37.35485528
278	37.3370113
279	37.31751048
280	37.29440853
281	37.27698726
282	37.26467435
283	37.24815417
284	37.16090927
285	37.11602461
286	37.06772804
287	37.03567459
288	37.01435023
289	36.98978744
290	36.96574268
291	36.94195222
292	36.92444115
293	36.881068
294	36.86605306
295	36.81597341
296	36.7891486
297	36.72921343
298	36.715694
299	36.70923823
300	36.69581647
301	36.68514206
302	36.67677695
303	36.66920131
304	36.62754432
305	36.57687435
306	36.56327512
307	36.54045585
308	36.53117147
309	36.52393453
310	36.51747437
311	36.51424531
312	36.49788681
313	36.4951092
314	36.49107055
315	36.47581311
316	36.46129931
317	36.4571035
318	36.45431303
319	36.45180161
320	36.44958662
321	36.44599568
322	36.44400861
323	36.44222025
324	36.44061072
325	36.43924804
326	36.42893784
327	36.42499472
328	36.41932931
329	36.41221998
330	36.40875027
331	36.39705657
332	36.38583525
333	36.38421782
334	36.36404514
335	36.35651721
336	36.35588377
337	36.34726561
338	36.34088425
339	36.31948899
340	36.290604
341	36.28827814
342	36.28001997
343	36.27256377
344	36.2639231
345	36.23380356
346	36.20983477
347	36.19759106
348	36.19043062
349	36.18490372
350	36.18007465
351	36.15883773
352	36.1417284
353	36.13520383
354	36.10888576
355	36.09600742
356	36.08140774
357	36.07402298
358	36.02881274
359	36.00389829
360	35.94708433
361	35.92290135
362	35.90058375
363	35.89632452
364	35.88827901
365	35.87836102
366	35.86973974
367	35.86202824
368	35.83680238
369	35.83134644
370	35.82752486
371	35.81114007
372	35.79363093
373	35.76751335
374	35.74461069
375	35.72160965
376	35.68621901
377	35.68180939
378	35.65196015
379	35.64367527
380	35.63860281
381	35.63423787
382	35.6277949
383	35.62400546
384	35.61917792
385	35.61524062
386	35.61332747
387	35.60462933
388	35.60213271
389	35.58323285
390	35.5806645
391	35.54447127
392	35.52885108
393	35.50575946
394	35.49218222
395	35.48986115
396	35.48364817
397	35.47651257
398	35.46112967
399	35.4597476
400	35.43702631
401	35.40488222
402	35.39364048
403	35.36111788
404	35.32854646
405	35.30914661
406	35.28400287
407	35.27416913
408	35.25410578
409	35.25269781
410	35.24892894
411	35.23695028
412	35.23356589
413	35.22861274
414	35.22710073
415	35.22627028
416	35.2203019
417	35.20949371
418	35.20762657
419	35.20708196
420	35.20529067
421	35.20472804
422	35.20423062
423	35.19749961
424	35.18867885
425	35.1715582
426	35.12770333
427	35.12388305
428	35.11017312
429	35.07490326
430	35.06579597
431	35.04805235
432	35.0371057
433	35.02077925
434	35.01206556
435	34.99815118
436	34.98883784
437	34.97172119
438	34.96891404
439	34.95428423
440	34.9453567
441	34.92823574
442	34.88553627
443	34.87762267
444	34.87208142
445	34.85593794
446	34.79821016
447	34.76679465
448	34.73869184
449	34.67473128
450	34.66047834
451	34.65855838
452	34.64309761
453	34.60076297
454	34.5870629
455	34.58007496
456	34.56863422
457	34.56758755
458	34.54509342
459	34.5438916
460	34.54304988
461	34.54101329
462	34.52887277
463	34.52671001
464	34.52476966
465	34.51357142
466	34.51212836
467	34.51042645
468	34.50913589
469	34.50884612
470	34.5030858
471	34.50215843
472	34.49127476
473	34.4908149
474	34.4905111
475	34.49026064
476	34.48912408
477	34.48841054
478	34.48778393
479	34.48722292
480	34.48671802
481	34.48629283
482	34.47261504
483	34.47193608
484	34.47132501
485	34.47077505
486	34.47032512
487	34.47012372
488	34.46973984
489	34.46962044
490	34.46928203
491	34.45769338
492	34.44653462
493	34.44215231
494	34.4417229
495	34.44133643
496	34.4409886
497	34.44067556
498	34.44039382
499	34.44014025
500	34.43991204
501	34.43970666
502	34.43952181
503	34.43935544
504	34.43920572
505	34.43907096
506	34.43894968
507	34.43884053
508	34.43874229
509	34.43865388
510	34.43857431
511	34.43850269
512	34.43843824
513	34.43838023
514	34.43832803
515	34.43828107
516	34.43739293
517	34.43659361
518	34.43587422
519	34.43522677
520	34.43464406
521	34.43412184
522	34.42627496
523	34.4252993
524	34.42446422
525	34.42015709
526	34.40302131
527	34.4007335
528	34.39523177
529	34.38915501
530	34.37605798
531	34.35823719
532	34.34675992
533	34.34251375
534	34.32232017
535	34.31733892
536	34.31469109
537	34.24955539
538	34.20314633
539	34.20075318
540	34.19267394
541	34.18576713
542	34.1817279
543	34.17453658
544	34.16786916
545	34.16103928
546	34.15503025
547	34.15072974
548	34.14958056
549	34.14697016
550	34.14259648
551	34.14015146
552	34.13795094
553	34.13597048
554	34.13424428
555	34.11782265
556	34.07248376
557	34.0611936
558	34.0405874
559	34.03216809
560	34.0283524
561	34.02496966
562	34.02125343
563	34.01848402
564	34.0145106
565	33.98100389
566	33.97601947
567	33.95365116
568	33.94562387
569	33.91997382
570	33.90066351
571	33.89872462
572	33.89067642
573	33.87982848
574	33.80761802
575	33.78761595
576	33.77439343
577	33.76520257
578	33.7552296
579	33.72954236
580	33.72218547
581	33.70773697
582	33.69356196
583	33.68037361
584	33.66881986
585	33.65619126
586	33.63744292
587	33.5947129
588	33.5788172
589	33.52885027
590	33.52183493
591	33.51590975
592	33.500041
593	33.48218976
594	33.46385385
595	33.45194631
596	33.43503466
597	33.42663988
598	33.41753657
599	33.41319105
600	33.40415213
601	33.37762098
602	33.36092904
603	33.33977087
604	33.32032578
605	33.31377695
606	33.30129373
607	33.29133556
608	33.2888866
609	33.2777256
610	33.2647913
611	33.26252904
612	33.24082337
613	33.2365898
614	33.22921691
615	33.21018935
616	33.19649189
617	33.18705599
618	33.17323369
619	33.17123016
620	33.16380645
621	33.15712511
622	33.1511119
623	33.14626851
624	33.14064575
625	33.12174227
626	33.10716169
627	33.09354632
628	33.09149867
629	33.07790046
630	33.07527222
631	33.07139706
632	33.06692329
633	33.06558766
634	33.04789717
635	33.04180617
636	33.03879501
637	33.03771602
638	33.02796255
639	33.02436511
640	33.02271731
641	33.02219021
642	33.02180683
643	33.02124114
644	33.00968036
645	33.00875758
646	33.00818354
647	33.00771972
648	33.00670126
649	33.00627491
650	33.00596951
651	33.00388404
652	32.99325918
653	32.99012352
654	32.98497981
655	32.97302294
656	32.95661156
657	32.94044324
658	32.93026785
659	32.91936754
660	32.90774495
661	32.89248841
662	32.88559031
663	32.8849268
664	32.8635019
665	32.85290174
666	32.84957869
667	32.84842158
668	32.8474151
669	32.84714918
670	32.84690985
671	32.84669445
672	32.8465006
673	32.84632613
674	32.84618732
675	32.83129197
676	32.81918908
677	32.80799316
678	32.80302829
679	32.79692723
680	32.77703308
681	32.77441974
682	32.76417759
683	32.7619347
684	32.75332707
685	32.7392747
686	32.73520685
687	32.72516842
688	32.71770397
689	32.7043531
690	32.69257662
691	32.69015875
692	32.68800217
693	32.68607049
694	32.68450688
695	32.6818343
696	32.67945348
697	32.66899696
698	32.6646056
699	32.66189513
