석식메뉴,샐러드류,양념 및 장류,나물류,소스류,두류,찜류,곡류,죽류,국탕류,볶음류,유제품류,김치류,밥류,묵류,만두류,견과류,비빔밥볶음밥류,음료류,회류,부침류,덥밥국밥류,빵과자류,채소류,면류,육류,난류,어패류,디저트류,무침류,찌개류,해조류,과일류,전류,조림류,튀김류,장아찌류,구이류,스프류,덮밥국밥류,떡류
"['순두부찌개', '쌈만두', '감자채볶음', '쌀밥', '명태조림', '포기김치', '잡곡밥']",0,0,0,0,1,0,3,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"['야채스틱', '바나나', '김치전', '석박지', '쌀밥', '설렁탕', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"['부추오이생채', '옹심이만두국', '떡갈비조림', '쌀밥', '포기김치', '청포묵무침', '잡곡밥']",1,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"['통배추겉절이', '볶음쌀국수', '쌀밥', '미역레몬초무침', '해물까스&타르타르소스', '콩비지찌개', '잡곡밥']",0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"['숙주나물', '매운돼지갈비찜', '멸치호두볶음', '쌀밥', '열무된장국', '포기김치', '잡곡밥']",0,0,1,0,0,1,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['무피클', '김밥', '찜)', '교자만두', '포기김치', '(오븐에', '멕시칸샐러드', '잔치국수']",1,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['청경채사과무침', '닭개장', '꽃맛살볶음', '쌀밥', '포기김치', '삼치구이', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0
"['구이김', '버섯들깨탕', '두부양념조림', '꽁치한마리구이', '쌀밥', '포기김치', '잡곡밥']",0,0,0,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0
"['양념깻잎지', '쌀밥', '버섯불고기', '포기김치', '콩나물겨자채', '된장찌개', '잡곡밥']",0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"['우동', '군고구마', '떡볶이', '포기김치', '단무지', '멸치주먹밥']",0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"['미트볼조림', '오징어국', '부추생채', '옥수수전', '쌀밥', '포기김치', '잡곡밥']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"['대구찌개', '감자채볶음', '쌀밥', '물파래무침', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"['카레덮밥', '수제고로케', '가쯔오장국', '포기김치', '과일샐러드', '오복지', '케찹']",1,2,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"['야채계란찜', '생선까스', '쌀밥', '탈탈소스', '포기김치', '콩나물무침', '육개장', '잡곡밥']",0,1,0,1,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"['짬뽕', '타코야끼', '꼬들단무지', '볶음밥', '포기김치', '개성감자만두']",0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"['봄동겉절이', '코다리무조림', '고추잡채', '쌀밥', '꽃빵', '포기김치', '연두부탕', '잡곡밥']",0,0,0,0,1,0,3,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"['달래된장찌개', '쌀밥', '참나물생채', '포기김치', '간장찜닭', '잡곡밥', '통도라지구이']",0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
"['계란파국', '꽃맛살샐러드', '오이무침', '짜장잡채덮밥', '참치야채전', '포기김치']",1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
"['야채스틱', '해물청경채볶음', '쌈장', '쌀밥', '뼈해장국', '버섯메밀전', '포기김치', '잡곡밥']",0,1,0,1,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"['토마토스파게티', '무피클', '양송이스프', '단호박범벅', '미니햄버거', '포기김치', '음료']",0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"['임연수찜', '닭곰탕', '어묵곤약볶음', '석박지', '쌀밥', '돌나물초장', '잡곡밥']",0,0,0,1,0,1,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"['수제비국', '봄동겉절이', '새송이버섯볶음', '쌀밥', '포기김치', '아귀콩나물찜', '잡곡밥']",0,0,0,0,0,1,3,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['궁중떡찜', '가쯔오장국', '찹쌀순대볶음', '굴소스파인볶음밥', '포기김치', '두반장가지나물']",0,1,1,0,0,1,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"['시금치나물', '알탕', '쌀밥', '마파두부', '포기김치', '잡곡밥', '동그랑땡전']",0,0,1,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"['바나나', '미소장국', '포기김치', '콘샐러드', '군만두', '참치회덮밥']",1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"['감자채볶음', '쌀밥', '청경채무침', '포기김치', '누룽지탕수육', '잡곡밥', '냉이된장찌개']",0,0,0,0,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"['유산슬', '쌀밥', '탈탈소스', '포기김치', '해물까스', '콩비지찌개', '잡곡밥', '도라지나물']",0,1,1,1,1,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"['깨찰빵', '돈육씨앗강정', '햄볶음밥', '해초무침', '포기김치', '유부장국']",0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"['깍두기', '청포묵무침', '애호박나물', '쌀밥', '어묵국', '등갈비김치찜', '잡곡밥']",0,0,1,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"['주먹밥', '오이피클', '또띠아피자', '포기김치', '과일샐러드', '잔치국수']",1,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['순살깐풍기', '쌀밥', '계란찜', '포기김치', '쇠고기미역국', '잡곡밥', '숙주미나리나물']",0,0,1,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"['고기전', '부추생채', '쌀밥', '포기김치', '된장찌개', '잡곡밥', '고등어조림']",0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
"['꽃맛살샐러드', '가쯔오장국', '깍두기', '감자치즈구이', '김치볶음밥', '단무지']",1,0,0,0,0,0,2,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"['탕평채', '청경채생채', '찜닭', '매운버섯국', '쌀밥', '포기김치', '잡곡밥']",0,0,1,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"['야채튀김', '우동', '김밥', '조각사과', '포기김치', '오복지']",0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0
"['오징어국', '멸치호두볶음', '쌀밥', '치커리사과무침', '미니함박', '포기김치', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0
"['가자미찜', '돌나물오이무침', '쇠고기무국', '계란야채말이', '쌀밥', '포기김치', '잡곡밥']",0,0,0,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['유부주머니국', '치킨마요덮밥', '떡볶이', '오렌지', '포기김치', '단무지무침']",0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1
"['피크닉', '견과류조림', '팽이버섯장국', '비빔밥', '포기김치', '새우또띠아']",0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"['무피클', '감자범벅', '수제돈가스', '쌀밥', '참나물생채', '들깨미역국', '포기김치', '잡곡밥']",0,0,0,0,0,0,3,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"['꽃게탕', '유산슬', '야채계란찜', '쌀밥', '포기김치', '두반장가지나물', '잡곡밥']",0,1,1,0,0,1,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['꼬들단무지', '낙지비빔밥', '포기김치', '과일샐러드', '새싹피자', '유부장국']",1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"['시금치나물', '쌀밥', '어묵국', '포기김치', '닭볶음탕', '새송이버섯전', '잡곡밥']",0,0,1,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"['오므라이스', '바나나', '피클', '탈탈소스', '포기김치', '해물까스', '쫄면무침', '팽이버섯국']",0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0
"['취나물땅콩무침', '꽃맛살볶음', '순두부찌개', '쌀밥', '포기김치', '잡곡밥', '탕수어']",0,0,0,0,1,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0
"['양념장', '세발나물', '순살깐풍기', '모둠묵', '알탕', '쌀밥', '포기김치', '잡곡밥']",0,1,1,1,0,0,3,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"['맑은국', '짜장덮밥', '오이무침', '요플레', '쇠고기퀘사디아', '포기김치', '단무지']",0,2,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"['청국장찌개', '참나물', '코다리무조림', '비엔나케찹볶음', '쌀밥', '포기김치', '잡곡밥']",0,1,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"['참치주먹밥', '가쯔오장국', '탕수만두', '오렌지', '포기김치', '비빔메밀국수']",0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
"['시금치초장무침', '고추잡채', '쌀밥', '꽃빵', '두부계란구이', '포기김치', '들깨버섯탕', '잡곡밥']",0,0,0,0,1,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"['북어국', '모듬양채쌈', '쌀밥', '고추장불고기', '날치알계란찜', '포기김치', '잡곡밥']",0,0,1,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"['라면사리', '미역줄기볶음', '쌀밥', '열무김치', '삼치구이', '탕수육', '부대찌개', '잡곡밥']",0,0,0,0,0,0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
"['오이소박이', '미소장국', '수제미니햄버거', '오렌지쥬스', '사과', '포기김치', '카레덮밥']",0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"['가자미튀김', '닭개장', '오이무침', '쌀밥', '포기김치', '모둠소시지구이', '잡곡밥']",0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
"['가쯔오국', '바나나', '찹쌀순대볶음', '계란', '김치볶음밥', '포기김치', '감자만두']",0,1,0,0,0,1,2,0,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"['해물누룽지탕', '양념깻잎지', '쌀밥', '열무김치', '콩비지찌개', '치즈계란말이', '잡곡밥']",0,0,0,0,1,0,2,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"['컵주스', '돈까스김밥', '마늘쫑무침', '포기김치', '멕시칸샐러드', '잔치국수']",1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"['쇠고기무국', '잡채', '얼갈이나물', '쌀밥', '코다리강정', '포기김치', '잡곡밥']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"['두부계란부침', '닭곰탕', '부추생채', '쌀밥', '주꾸미볶음', '포기김치', '잡곡밥']",0,0,0,0,1,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"['우동', '유부초밥', '떡볶이', '오렌지', '포기김치', '또띠아칩', '군만두']",0,1,0,0,1,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"['시금치무침', '석박지', '쌀밥', '황태양념구이', '뼈해장국', '잡곡밥', '메추리알조림']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"['사천식탕수육', '슈크림', '팽이장국', '새우살볶음밥', '포기김치', '콩나물무침']",0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"['참나물무침', '비엔나케찹볶음', '쌀밥', '포기김치', '육개장', '꽁치허브구이', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"['수제비국', '새송이버섯볶음', '데리야끼파닭', '쌀밥', '포기김치', '아삭고추무침', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"['방울토마토', '맑은국', '포기김치', '락교', '참치회덮밥', '고구마치즈구이']",0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"['오이소박이', '된장찌개', '쌀밥', '탈탈소스', '해물까스', '등갈비김치찜', '잡곡밥', '도라지나물']",0,2,1,1,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"['쨔샤이무침', '계란파국', '칠리소스', '춘권', '짜장잡채밥', '포기김치', '과일샐러드']",1,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"['꽃게탕', '돈육청경채볶음', '연두부', '쌀밥', '포기김치', '새싹장', '계란말이', '잡곡밥']",0,1,0,1,1,1,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"['숙주나물', '도토리묵무침', '해물순두부찌개', '미니함박조림', '쌀밥', '포기김치', '잡곡밥']",0,0,1,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
"['무피클', '참치주먹밥', '수제고로케', '꽃맛살샐러드', '쌀국수', '포기김치', '케찹']",1,1,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"['양배추쌈', '감자채햄볶음', '쌀밥', '어묵국', '고추장불고기', '포기김치', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"['땅콩조림', '고추잡채', '배추겉절이', '꽃빵', '오렌지', '날치알볶음밥', '유부장국']",0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
"['수제돈까스', '오이피클', '단호박범벅', '쌀밥', '시래기국', '포기김치', '주꾸미무침', '잡곡밥']",0,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"['미트볼케찹조림', '가쯔오장국', '마늘쫑무침', '계란찜', '포기김치', '양념장', '콩나물밥']",0,1,0,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"['상추겉절이', '쌀밥', '우엉잡채', '포기김치', '육개장', '잡곡밥', '자반고등어구이']",0,0,0,0,0,0,2,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"['방울토마토', '충무김밥', '야채튀김', '오징어무침', '열무물국수', '석박지']",0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"['두부조림', '참나물', '쌀밥', '버섯불고기', '어묵국', '포기김치', '잡곡밥']",0,0,0,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"['삼치데리야끼구이', '햄맛살볶음', '쌀밥', '포기김치', '아삭고추무침', '들깨버섯탕', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
"['오므라이스', '훈제오리냉채', '미소장국', '포기김치', '수박', '군만두']",1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"['닭개장', '해물청경채볶음', '오이도라지생채', '쌀밥', '포기김치', '계란말이', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"['치킨핑거', '요거트D', '유부초밥', '스틱단무지', '냉모밀국수', '떡볶이', '포기김치']",0,1,0,1,1,0,2,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"['소고기미역국', '유산슬', '쌀밥', '해물가스', '탈탈소스', '치커리유자무침', '포기김치', '잡곡밥']",0,1,0,1,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"['두부계란부침', '호박잎찌개', '부추생채', '쌀밥', '쇠불고기', '포기김치', '잡곡밥']",0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0
"['비빔국수', '맑은국', '김밥', '찐햇감자', '포기김치', '단무지', '콘샐러드']",1,1,0,0,0,1,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['브로컬리초장', '닭곰탕', '찹쌀순대볶음', '연근땅콩조림', '쌀밥', '포기김치', '잡곡밥']",0,1,0,1,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"['토마토스파게티', '맑은국', '양송이스프', '깍두기', '작은밥', '오이피클', '쇠고기퀘사디아', '음료']",0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,5,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"['미역줄기', '해물누룽지탕', '순두부찌개', '쌀밥', '버섯메밀전', '포기김치', '잡곡밥']",0,0,0,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0
"['양념장', '깍두기', '쌀밥', '김치찌개', '파래김', '모둠장조림', '잡곡밥', '주꾸미초무침']",0,1,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0
"['볶음밥', '슈크림', '계란국', '탕수만두', '포기김치', '단무지', '멕시칸샐러드', '짜장소스']",1,1,0,1,0,0,2,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['비엔나컬리플라워볶음', '청국장찌개', '쌀밥', '포기김치', '아귀콩나물찜', '우엉조림', '잡곡밥']",0,1,0,0,0,1,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
"['견과류조림', '주먹밥', '감자버터구이', '알타리김치', '김치말이국수', '토마토']",0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
