index,메뉴,분류,재료1,재료2
2168,깐쇼새우,볶음류,어패류,
2169,피자샌드,빵과자류,육류,
2170,부추팽이무침,무침류,채소류,
2171,쥐어채무침,무침류,어패류,
2172,유채겉절이,김치류,채소류,
2173,고추튀김,튀김류,채소류,
2177,오리대패불고기,구이류,육류,
2178,마늘치킨,튀김류,육류,
2179,(New)캔꽁치튀김,튀김류,어패류,
2180,찹쌀도너츠,빵과자류,곡류,
2181,쿠키,빵과자류,곡류,
2182,해초샐러드,샐러드류,채소류,채소류
2183,사과즙,음료류,과일류,
2184,더덕구이,구이류,채소류,
2185,양상추메추리알샐러드,샐러드류,채소류,난류
2186,마파무조림,조림류,채소류,
2187,김가루잔파무침,무침류,해조류,
2188,건새우무조림,조림류,어패류,
2189,소고기스프,스프류,육류,
2190,미트볼케찹조림,조림류,육류,
2191,느타리버섯국,국탕류,채소류,
2192,오이소박이,김치류,채소류,
2193,와플,빵과자류,곡류,
2194,지리멸치볶음,볶음류,어패류,
2195,치커리생채,무침류,채소류,
2196,꽁치양파조림,조림류,어패류,
2197,초계국수,면류,육류,
2198,굴소스파인볶음밥,비빔밥볶음밥류,채소류,
2199,츄러스,빵과자류,곡류,
2200,(New)허니순살치킨,튀김류,육류,
2201,피자빵,빵과자류,육류,
2202,황태해장국,국탕류,어패류,
2203,복주머니딤섬,찜류,육류,
2204,강된장찌개,찌개류,양념 및 장류,
2205,두부쑥갓무침,무침류,채소류,
2206,청량된장찌개,찌개류,양념 및 장류,
2207,얼갈이나물된장무침,무침류,채소류,
2208,소시지볶음,볶음류,육류,
2209,돈까스김밥,밥류,육류,
2210,부추전,전류,채소류,
2211,삼색묵무침,무침류,채소류,
2212,미나리무침,무침류,채소류,
2213,생강채,나물류,채소류,
2217,단호박,채소류,채소류,
2218,콩가루배추된장국,국탕류,채소류,
2219,계란야채말이,구이류,난류,
2220,(New)어떡햄,구이류,육류,
2221,우엉간장조림,조림류,채소류,
2222,매콤콩나물국,국탕류,채소류,
2223,참나물두부무침,무침류,채소류,
2224,꽈배기도넛,빵과자류,곡류,
2225,루꼴라샐러드,샐러드류,채소류,
2226,시나몬페스츄리,빵과자류,곡류,
2227,탕평채,무침류,채소류,
2228,쇠고기버섯볶음,볶음류,육류,
2229,두부,찜류,두류,
2233,김치볶음,볶음류,김치류,
2237,치커리만다린샐러드,샐러드류,채소류,
2238,오렌지D,소스류,과일류,
2242,크래미미역줄기볶음,볶음류,해조류,
2243,스팸계란말이,구이류,난류,
2244,유부주머니된장국,국탕류,두류,
2245,보리누룽지탕,국탕류,곡류,
2246,우무콩국,국탕류,채소류,
2247,얼큰순두부찌개,찌개류,두류,
2248,새우로제파스타,면류,어패류,
2249,베이컨숙주굴소스볶음,볶음류,육류,
2250,고구마연근맛탕,조림류,곡류,
2251,매운순대국,덮밥국밥류,육류,
2252,통오이고추무침,무침류,채소류,
2253,크림스프,스프류,곡류,
2254,메쉬드포테이토,튀김류,곡류,
2255,크로크무슈,빵과자류,채소류,
2256,계란장조림,조림류,두류,
2257,곤드레밥,밥류,채소류,
2259,곤드레밥,밥류,곡류,채소류
2273,돈육김치볶음,볶음류,육류,
2274,닭다리살스테이크,구이류,육류,
2275,무말랭이,무침류,채소류,
2276,통감자오븐구이,구이류,곡류,
2277,오뗄햄김밥,밥류,육류,
2278,모둠묵샐러드,샐러드류,채소류,
2279,홍합탕,국탕류,어패류,
2280,오리양념불고기,구이류,육류,
2281,쌈무,무침류,채소류,
2283,쌈무,나물류,채소류,
2285,남친샌드위치,빵과자류,곡류,
2286,유부우동국물,국탕류,두류,
2287,로제파스타,면류,곡류,
2288,미니채소떡갈비,구이류,육류,
2289,미역초무침,무침류,해조류,
2290,가래떡츄러스,빵과자류,곡류,
2291,샌드위치,빵과자류,곡류,
2292,마늘쫑장아찌,장아찌류,채소류,
2293,쪽파무침,무침류,채소류,
2294,방울양배추베이컨볶음,볶음류,육류,채소류
2295,봄동달래무침,무침류,채소류,
2296,물만두찜,만두류,곡류,
2297,맑은꽃게탕,국탕류,어패류,
2298,해물된장찌개,찌개류,어패류,
2299,전주비빔밥,비빔밥볶음밥류,채소류,
2303,콩나물파채절이,무침류,채소류,
2304,마늘쫑건새우볶음,볶음류,어패류,
2305,마늘쫑볶음,볶음류,채소류,
2306,녹두전(김치),전류,김치류,
2307,방풍나물,무침류,채소류,
2308,크림누룽지탕,국탕류,곡류,
2309,치즈케익,빵과자류,곡류,유제품류
2310,맑은장국,국탕류,양념 및 장류,
2311,채소프리타타,구이류,채소류,
2312,감자카레볶음,볶음류,채소류,
2313,오이볶음,볶음류,채소류,
2314,(New)뿌리채소영양밥,밥류,채소류,
2315,새우또띠아,구이류,어패류,
2316,쌀국수,면류,곡류,
2317,단감,과일류,과일류,
2318,단무지채무침,무침류,채소류,
2319,고구마고로케,빵과자류,채소류,
2320,베추겉절이,김치류,김치류,
2321,로스트치킨샐러드,샐러드류,채소류,
2322,모듬소시지볶음,볶음류,육류,
2323,멸치국수,면류,어패류,
2324,옛날돈까스,튀김류,육류,
2325,볼어묵볶음,볶음류,어패류,
2326,오곡밥,밥류,곡류,
2327,임연수구이,구이류,어패류,
2328,알리오올리오파스타,면류,곡류,
2329,햄야채볶음,볶음류,채소류,
2330,풋고추양파무침,무침류,채소류,
2331,동태탕,국탕류,어패류,
2332,어묵무침,무침류,어패류,
2333,전주식콩나물국해장국,국탕류,채소류,
2334,마늘종멸치볶음,볶음류,어패류,
2335,근대나물,무침류,채소류,
2336,베이컨김치볶음밥,비빔밥볶음밥류,육류,
2337,시저D,소스류,양념 및 장류,
2338,타르타르,소스류,양념 및 장류,
2339,연근깨소스무침,무침류,채소류,
2340,해물수제비국,국탕류,어패류,
2341,팥호빵,빵과자류,곡류,
2342,부추만두,만두류,채소류,
2343,주꾸미굴소스볶음,볶음류,어패류,
2344,죽순버섯볶음,볶음류,채소류,
2345,(New)인절미치킨,튀김류,육류,
2346,시금치팬케익,빵과자류,채소류,
2347,오이무초무침,무침류,채소류,
2348,청양해물파전,전류,어패류,
2349,투움바스파게티,면류,육류,
2350,타르타르소스,소스류,양념 및 장류,
2351,매콤볼어묵볶음,볶음류,어패류,
2352,견과류죽,죽류,두류,
2353,굴소스볶음밥,비빔밥볶음밥류,양념 및 장류,
2354,떡갈비조림,조림류,육류,
2355,미역미소시루국,국탕류,해조류,
2356,봄동겉절이,김치류,채소류,
2357,크림새우,튀김류,어패류,
2358,베이컨샌드,빵과자류,육류,
2359,해물돼지갈비찜,찜류,육류,
2360,요플레,유제품류,양념 및 장류,
2361,요플레,유제품류,유제품류,
2364,목살스테이크,구이류,육류,
2365,돈가스또띠아,구이류,육류,
2366,버섯들깨찌개,찌개류,채소류,
2367,소고기퀘사디아,구이류,육류,
2368,브로콜리,채소류,채소류,
2372,흑임자시금치샐러드,샐러드류,채소류,
2373,삼계탕,국탕류,육류,
2374,채소쌈,채소류,채소류,
2375,삼겹살구이,구이류,육류,
2376,비엔나간장볶음,볶음류,육류,
2377,양배추쌈,채소류,채소류,
2389,양배추쌈,나물류,채소류,
2413,젓장,소스류,어패류,양념 및 장류
2414,무비트생채,무침류,채소류,
2415,상추,채소류,채소류,
2435,상추,나물류,채소류,
2440,망고D,소스류,과일류,
2441,내사랑포도,과일류,과일류,
2442,브리또,빵과자류,육류,곡류
2443,라볶이,면류,곡류,
2444,버섯매운국,국탕류,채소류,
2445,바질페스토스파게티,면류,채소류,
2446,봄나물비빔밥,비빔밥볶음밥류,채소류,
2447,사과고구마그라탕,조림류,과일류,곡류
2448,새우완자전,전류,어패류,
2449,칼국수,면류,곡류,
2458,대추채멸치볶음,볶음류,어패류,
2459,"곰취,명이나물-장아찌",장아찌류,채소류,
2460,두부동그랑땡,전류,두류,
2461,황태두부국,국탕류,어패류,
2462,청양고추계란말이,구이류,난류,
2463,취나물된장볶음,볶음류,채소류,
2464,오이지,무침류,채소류,
2465,채소볶음밥,비빔밥볶음밥류,채소류,
2469,불미나리무침,무침류,채소류,
2470,열대과일,과일류,과일류,
2471,살구복숭아주스,음료류,과일류,
2472,해파리무침,무침류,어패류,
2473,상추파채무침,무침류,채소류,
2474,쫄면야채무침,무침류,곡류,
2475,단호박크림스프,스프류,채소류,
2476,코다리조림,조림류,어패류,
2477,가자미엿장구이,구이류,어패류,
2478,사우전D,소스류,채소류,
2482,오징어무국,국탕류,어패류,
2483,황태무채국,국탕류,어패류,
2484,닭봉오븐구이,구이류,육류,
2485,메밀전병,전류,곡류,
2489,오삼불고기,구이류,육류,
2490,햄감자채볶음,볶음류,육류,곡류
2491,버섯불고기,구이류,육류,
2492,팬케익,빵과자류,곡류,
2493,오징어어묵무침,무침류,어패류,
2494,소시지감자볶음,볶음류,육류,
2495,낙지비빔밥,비빔밥볶음밥류,어패류,
2499,단호박범벅,죽류,채소류,
2500,모둠버섯볶음,볶음류,채소류,
2501,부추팽이겉절이,김치류,채소류,
2502,추가밥,밥류,곡류,
2506,삼색만두채소무침,무침류,채소류,
2507,가지양파무침,무침류,채소류,
2508,목살김치찌개,찌개류,육류,
2509,핫케이크,빵과자류,곡류,
2510,홍합살미역국,국탕류,해조류,
2511,타르소스,소스류,양념 및 장류,
2512,가지고추장무침,무침류,채소류,
2513,김치찌개,찌개류,채소류,
2514,두반장가지볶음,볶음류,채소류,
2515,(New)등심찹쌀꿔바로우,튀김류,육류,
2516,유부김치국,국탕류,두류,김치류
2517,청경채김치,김치류,채소류,
2518,수제고로케,튀김류,채소류,곡류
2519,수제고로케,튀김류,곡류,채소류
2520,수제고로케,빵과자류,채소류,곡류
2521,수제고로케,빵과자류,곡류,채소류
2522,마늘쫑건새우무침,무침류,어패류,
2523,타워함박스테이크,구이류,육류,
2524,진미채무말랭이무침,무침류,어패류,
2525,치커리유자청무침,무침류,채소류,
2526,수박,과일류,과일류,
2527,버섯탕수,튀김류,채소류,
2528,소고기샤브국,국탕류,육류,
2529,생선가스,튀김류,어패류,
2533,오프룻요거트,유제품류,유제품류,
2534,양념,소스류,양념 및 장류,
2543,얼큰낙지죽,죽류,어패류,
2544,아귀매운탕,국탕류,어패류,
2545,양념깻잎찜,찜류,채소류,
2546,(New)치킨마요덮밥,덮밥국밥류,육류,
2547,연복풍덮밥,덮밥국밥류,채소류,양념 및 장류
2548,과일플레인샐러드,샐러드류,채소류,과일류
2549,돌나물초장,소스류,채소류,
2550,쭈삼불고기,구이류,육류,어패류
2551,취나물쌈장무침,무침류,채소류,
2552,삼겹살볶음밥,비빔밥볶음밥류,육류,
2553,간장돼지갈비찜,찜류,육류,
2554,새송이버섯죽,죽류,채소류,
2555,사골옹심이만둣국,국탕류,곡류,
2556,멸치마늘종조림,조림류,어패류,
