중식메뉴,샐러드류,양념 및 장류,나물류,소스류,두류,찜류,곡류,죽류,국탕류,볶음류,유제품류,김치류,밥류,묵류,만두류,견과류,비빔밥볶음밥류,음료류,회류,부침류,덥밥국밥류,빵과자류,채소류,면류,육류,난류,어패류,디저트류,무침류,찌개류,해조류,과일류,전류,조림류,튀김류,장아찌류,구이류,스프류,덮밥국밥류,떡류
"['낙지비빔밥', '요구르트', '해초무침', '포기김치', '유부장국', '고구마치즈구이']",0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"['대구찌개', '새송이버섯볶음', '돌나물무침', '요구르트', '쌀밥', '마늘간장치킨', '포기김치', '치킨무', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0
"['오곡밥', '호박꼬지&고사리&무나물', '쇠고기느타리국', '요구르트', '부럼', '쌀밥', '파래김', '포기김치', '갈치구이', '양념장']",0,1,0,1,0,0,3,0,1,0,2,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
"['요구르트', '쌀밥', '꽃상추무침', '포기김치', '버섯잡채', '콩나물국', '돈육간장볶음', '잡곡밥']",0,0,0,0,0,0,2,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"['소세지피망볶음', '맛탕', '팽이장국', '요구르트', '비빔밥', '포기김치', '귤']",0,0,0,0,0,0,2,0,1,2,2,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"['북어계란국', '새싹두부구이', '곰피초장', '요구르트', '쌀밥', '닭갈비', '포기김치', '잡곡밥']",0,0,0,1,1,0,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"['수제비국', '오징어볶음', '요구르트', '쌀밥', '계란찜', '도라지초무침', '포기김치', '잡곡밥']",0,0,0,0,0,1,3,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"['얼갈이된장국', '요구르트', '쌀밥', '포기김치', '제육볶음', '치커리생채', '늙은호박전', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"['맛살계란말이', '쌀밥', '주꾸미볶음', '포기김치', '아삭고추무침', '쇠고기미역국', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0
"['근대된장국', '요구르트', '무생채', '쌀밥', '새송이버섯조림', '포기김치', '탕수육', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"['가자미튀김', '열무된장나물', '깍두기', '쌀밥', '부대찌개', '잡곡밥', '메추리알조림']",0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"['양념장', '톳두부무침', '모둠묵', '쌀밥', '닭갈비', '포기김치', '콩나물국', '잡곡밥']",0,1,0,1,1,0,3,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"['깍두기', '풋마늘초무침', '쌀밥', '차돌박이찌개', '잡곡밥', '소세지구이', '고등어김치말이']",0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0
"['시금치나물', '북어국', '돈육장조림', '쌀밥', '포기김치', '홍어무침', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
"['취나물', '쌀밥', '고추장찌개', '닭데리야끼조림', '포기김치', '해물파전', '잡곡밥']",0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
"['탕평채', '수제돈가스', '쌀밥', '배추된장국', '포기김치', '쫄면무침', '잡곡밥']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"['돈육고추장볶음', '모둠양채쌈', '쌈장', '쌀밥', '어묵국', '포기김치', '잡곡밥', '콩나물파채무침']",0,1,1,1,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"['소면', '골뱅이무침', '쌀밥', '소불고기', '포기김치', '마늘쫑볶음', '쑥국', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['무나물', '두부계란부침', '콩나물김치국', '포기김치', '미니채소떡갈비', '곤드레밥']",0,0,1,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"['사골우거지국', '양념장', '깻순나물', '깍두기', '쌀밥', '파래김', '잡곡밥', '탕수어']",0,1,1,1,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
"['연근땅콩조림', '부추생채', '쌀밥', '훈제오리구이', '포기김치', '시금치국', '잡곡밥', '쌈무']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"['꽃게탕', '도토리묵무침', '쌀밥', '버섯불고기', '포기김치', '계란말이', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0
"['두부&김치볶음', '쇠고기샤브국', '유채나물', '깍두기', '쌀밥', '코다리강정', '잡곡밥']",0,0,1,0,1,0,2,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"['달래장', '맑은국', '땅콩조림', '요거트D', '치킨텐더', '포기김치', '실곤약초무침', '콩나물밥']",0,1,0,2,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"['쇠고기장조림', '북어계란국', '시래기나물', '쌀밥', '오징어초무침', '포기김치', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
"['열무나물', '닭개장', '비엔나볶음', '배추겉절이', '쌀밥', '잡곡밥', '자반고등어구이']",0,0,1,0,0,0,2,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"['취나물', '얼갈이된장국', '해파리냉채', '쌀밥', '닭갈비', '포기김치', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"['치커리유자청생채', '옹심이만두국', '쌀밥', '주꾸미볶음', '포기김치', '새송이버섯전', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"['봄새싹비빔밥', '알감자버터구이', '오징어튀김', '오렌지', '포기김치', '쪽파국']",0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0
"['봄동나물', '쌀밥', '매운콩나물국', '동태전', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"['버섯들깨탕', '쌀밥', '우엉잡채', '포기김치', '갈치조림', '아삭고추무침', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"['브로컬리맛살볶음', '순두부찌개', '풋마늘초무침', '쌀밥', '쇠불고기', '포기김치', '잡곡밥']",0,0,0,0,1,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"['오징어볶음', '소면', '시금치나물', '북어국', '쌀밥', '포기김치', '모둠소시지구이', '잡곡밥']",0,0,1,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"['두부조림', '쌈장', '모둠쌈', '쌀밥', '올갱이아욱국', '포기김치', '제육볶음', '잡곡밥']",0,1,1,1,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"['매운돼지갈비찜', '무생채', '쌀밥', '어묵국', '포기김치', '해물파전', '잡곡밥']",0,0,0,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
"['콩나물무침', '쌀밥', '배추된장국', '포기김치', '순살양념치킨', '잡곡밥', '메추리알조림']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"['무쌈', '양파절임', '풋마늘초무침', '쌀밥', '시래기국', '훈제오리구이', '포기김치', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"['열무나물', '시금치나물', '쌀밥', '포기김치', '쇠고기단호박조림', '부대찌개', '잡곡밥']",0,0,2,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"['수제비국', '양배추쌈', '무생채', '쌀밥', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,0,0,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"['쌀밥', '닭데리야끼조림', '도라지초무침', '포기김치', '콩나물무침', '잡곡밥', '냉이된장찌개']",0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
"['콩나물잡채', '돈육강정', '브로컬리두부무침', '쌀밥', '배추된장국', '포기김치', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"['고기전', '꽁치한마리구이', '쌀밥', '해초무침', '포기김치', '육개장', '잡곡밥']",0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0
"['근대된장국', '매콤떡갈비조림', '부추생채', '포기김치', '청포묵무침', '콩나물밥']",0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"['청경채생채', '쇠고기볶음', '대구매운탕', '옥수수전', '쌀밥', '포기김치', '잡곡밥']",0,0,1,0,0,0,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"['연근조림', '깻잎양념지', '북어국', '쌀밥', '열무김치', '등갈비김치찜', '잡곡밥']",0,0,0,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"['버섯볶음', '김치전', '쌀밥', '포기김치', '콩나물국', '돈간장불고기', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"['쇠고기무국', '풋마늘대무침', '쌀밥', '주꾸미볶음', '포기김치', '치즈계란말이', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['나물비빔밥', '궁중떡찜', '미소장국', '알감자버터구이', '유기농식혜', '배추겉절이']",0,1,0,0,0,1,4,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['양념파닭', '미역국', '동그랑땡부침', '쌀밥', '콩자반', '포기김치', '치킨무', '잡곡밥']",0,0,1,0,0,0,4,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"['돈육김치찌개', '고등어카레구이', '미트볼조림', '깍두기', '쌀밥', '치커리사과무침', '잡곡밥']",0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0
"['비름나물', '맛살겨자채', '쌀밥', '닭갈비', '포기김치', '시금치국', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['볶은김치', '온두부', '무채국', '모둠장조림', '실곤약초무침', '곤드레밥']",0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"['오징어볶음', '쇠고기샤브국', '무생채', '쌀밥', '동태전', '포기김치', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
"['무쌈', '양파절임', '도토리묵무침', '매운어묵국', '쌀밥', '훈제오리구이', '포기김치', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0
"['시금치나물', '쌀밥', '버섯불고기', '오징어초무침', '포기김치', '콩나물국', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['시래기된장국', '가지나물', '단호박영양밥', '돈육칠리강정', '포기김치', '멸치크랜베리볶음']",0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"['찜닭', '꽃맛살볶음', '오징어국', '쌀밥', '포기김치', '잡곡밥', '통도라지구이']",0,0,0,0,0,1,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"['매운돼지갈비찜', '배추겉절이', '쌀밥', '해물파전', '된장찌개', '잡곡밥', '치커리유자생채']",0,1,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"['감자고추장찌개', '쌀밥', '계란찜', '꽃상추무침', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,1,0,0,0,1,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"['고기전', '비름나물', '깍두기', '쌀밥', '잡곡밥', '들깨버섯탕', '고등어김치말이']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"['치킨핑거', '미소장국', '산채비빔밥', '연근땅콩조림', '요플레', '포기김치']",0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"['숙주나물', '소면', '골뱅이무침', '쌀밥', '열무된장국', '포기김치', '미니채소떡갈비', '잡곡밥']",0,0,1,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['순두부찌개', '닭오븐구이', '불미나리무침', '쌀밥', '포기김치', '새송이버섯전', '잡곡밥']",0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
"['북어콩나물국', '쇠고기불고기', '오이무침', '옥수수전', '쌀밥', '포기김치', '잡곡밥']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"['오징어숙회무침', '석박지', '쌀밥', '치커리생채', '꼬지삼색전', '한방갈비탕', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
"['미역장국', '매실주스', '낙지볶음밥', '포기김치', '우엉조림', '탕수어']",0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0
"['쇠고기해장국', '무생채', '비엔나감자볶음', '쌀밥', '포기김치', '갈치구이', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"['닭양념조림', '깍두기', '쌀밥', '배추된장국', '고구마순나물', '잡곡밥', '동그랑땡전']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"['오이도라지생채', '콩나물김치국', '쌀밥', '명태조림', '포기김치', '누룽지탕수육', '잡곡밥']",0,0,0,0,0,0,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"['깻잎양념지', '근대된장국', '잡채', '쌀밥', '닭갈비', '포기김치', '잡곡밥']",0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"['열무비빔밥', '오징어튀김', '강된장찌개', '포기김치', '음료', '궁중떡볶이']",0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
"['두부구이', '쌀밥', '오이미역냉국', '포기김치', '모둠장조림', '실곤약초무침', '잡곡밥']",0,0,0,0,1,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
"['찜닭', '김치전', '쌀밥', '차돌박이찌개', '머위대나물', '포기김치', '잡곡밥']",0,0,1,0,0,1,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"['홍어채무침', '가지나물', '북어계란국', '쌀밥', '포기김치', '돈육굴소스볶음', '잡곡밥']",0,0,1,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"['참치김치찌개', '순살깐풍기', '브로컬리초장', '깍두기', '쌀밥', '맛살콩나물냉채', '잡곡밥']",1,1,0,1,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
"['비름나물', '돼지갈비찜', '쌀밥', '매운콩나물국', '포기김치', '부추전', '잡곡밥']",0,0,1,0,0,1,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"['오징어볶음', '쌀밥', '치커리사과무침', '포기김치', '모둠소시지구이', '된장찌개', '잡곡밥']",0,1,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
"['북어콩나물국', '참치야채전', '쌀밥', '모둠쌈', '포기김치', '제육볶음', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0
"['탕평채', '닭양념조림', '어묵볶음', '쌀밥', '열무김치', '배추된장국', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"['맑은국', '떡갈비조림', '포기김치', '쫄면무침', '열무된장나물', '카레덮밥']",0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"['고기전', '깍두기', '쌀밥', '해초무침', '가자미양념찜', '부대찌개', '잡곡밥']",0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"['꽃게탕', '돈육강정', '쌀밥', '김구이', '포기김치', '버섯잡채', '잡곡밥']",0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
"['시금치나물', '명태엿장조림', '레몬탕수육', '쌀밥', '어묵국', '포기김치', '잡곡밥']",0,0,1,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
"['대구찌개', '오이무침', '쌀밥', '포기김치', '마늘쫑볶음', '간장치킨', '치킨무', '잡곡밥']",0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0
"['쌀밥', '시래기국', '포기김치', '상추쌈', '새송이버섯전', '돈삼겹보쌈', '잡곡밥', '콩나물파채무침']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"['숙주나물', '쇠고기무국', '매콤낙지볶음', '쌀밥', '포기김치', '잡곡밥', '메추리알조림']",0,0,1,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"['도토리묵냉국', '간장깻잎지', '목살데리야끼구이', '쌀밥', '포기김치', '잡곡밥', '골뱅이무침&소면']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"['야채스틱', '쌀밥', '배추된장국', '훈제오리구이', '포기김치', '실곤약초무침', '잡곡밥', '쌈무']",0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"['마늘쫑무침', '쌀밥', '닭가슴살냉채', '포기김치', '육개장', '잡곡밥', '고등어구이']",1,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
