요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,석식메뉴,평균기온,평균습도,사회적거리두기 1단계,사회적거리두기 1.5단계,사회적거리두기 2단계 이상,전국 코로나 확진자 수,경남 코로나 확진자 수,진주 코로나 확진자 수,1단계 누적일수,1.5단계 누적일수,2단계 누적일수,격상 가중치,격하 가중치,휴일전날,점심비,저녁비,월,일,식사가능자수,샐러드류,양념 및 장류,나물류,소스류,두류,찜류,곡류,죽류,국탕류,볶음류,유제품류,김치류,밥류,묵류,만두류,견과류,비빔밥볶음밥류,음료류,회류,부침류,덥밥국밥류,빵과자류,채소류,면류,육류,난류,어패류,디저트류,무침류,찌개류,해조류,과일류,전류,조림류,튀김류,장아찌류,구이류,스프류,덮밥국밥류,떡류
4,2601,77,254,367,0.0,쌀밥/잡곡밥 (쌀:국내산) 순두부찌개  명태조림 (명태:러시아산) 감자채볶음  쌈만두  포기김치 (김치:국내산) ,2.3,61.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,2,18,2524.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
5,2601,145,252,69,0.0,쌀밥/잡곡밥 (쌀:국내산) 설렁탕 (쇠고기:호주산) 김치전 (김치:국내산) 야채스틱  바나나  석박지 (김치:국내산) ,5.0,58.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,2,19,2456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2601,90,207,434,0.0,쌀밥/잡곡밥 (쌀:국내산) 옹심이만두국  떡갈비조림  청포묵무침  부추오이생채  포기김치 (김치:국내산) ,3.4,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,2,22,2511.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
2,2601,57,237,488,0.0,쌀밥/잡곡밥 (쌀:국내산) 콩비지찌개  해물까스&타르타르소스  볶음쌀국수  미역레몬초무침  통배추겉절이 (김치:국내산) ,5.5,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,2,23,2544.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2601,54,232,14,0.0,쌀밥/잡곡밥 (쌀:국내산) 열무된장국  매운돼지갈비찜  멸치호두볶음  숙주나물  포기김치 (김치:국내산) ,1.4,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,2,24,2547.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2601,56,261,335,0.0,김밥 (쌀:국내산) 잔치국수  교자만두 (오븐에 찜) 멕시칸샐러드  무피클  포기김치 (김치:국내산) ,0.8,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,2,25,2545.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2601,144,278,42,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭개장  삼치구이  꽃맛살볶음  청경채사과무침  포기김치 (김치:국내산) ,1.8,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,2,26,2457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
1,2601,595,168,110,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 버섯들깨탕  꽁치한마리구이  두부양념조림  구이김  포기김치 (김치:국내산) ",-0.2,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,2,29,2006.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
3,2624,127,182,261,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 된장찌개  버섯불고기  콩나물겨자채  양념깻잎지  포기김치 (배추,고추가루:국내산) ",3.8,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,2,2497.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
4,2624,61,224,351,0.0,"멸치주먹밥 (쌀,현미흑미:국내산) 우동  떡볶이  군고구마  단무지  포기김치 (배추,고추가루:국내산) ",6.7,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,3,2563.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693
5,2624,83,247,79,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 오징어국  미트볼조림  옥수수전  부추생채  포기김치 (배추,고추가루:국내산) ",8.2,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,20.3,3,4,2541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
1,2624,50,195,456,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 대구찌개 돈육굴소스볶음  감자채볶음  물파래무침   포기김치 (김치:국내산) ",11.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,7,2574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2624,47,212,426,0.0,"카레덮밥 (쌀,현미흑미:국내산) 가쯔오장국 수제고로케*케찹  과일샐러드  오복지   포기김치 (김치:국내산) ",8.0,65.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,8,2577.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0
3,2624,43,225,0,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 육개장 생선까스*탈탈소스  야채계란찜  콩나물무침   포기김치 (김치:국내산) ",5.2,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,9,2581.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
4,2624,55,245,290,0.0,"볶음밥 (쌀,현미흑미:국내산) 짬뽕 개성감자만두  타코야끼  꼬들단무지   포기김치 (김치:국내산) ",3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,10,2569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2624,108,275,76,0.0,"쌀밥/잡곡밥 (쌀,현미흑미:국내산) 연두부탕 코다리무조림  고추잡채*꽃빵  봄동겉절이   포기김치 (김치:국내산) ",2.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,3,11,2516.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875,0.0,0.0625,0.0,0.0,0.1875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1,2624,61,183,376,0.0,쌀밥/잡곡밥 (쌀:국내산) 달래된장찌개  간장찜닭 (닭고기:국내산) 통도라지구이 참나물생채   포기김치 (김치:국내산) ,5.5,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,14,2563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
2,2624,38,231,399,0.0,"짜장잡채덮밥 (돈육,쌀:국내산) 계란파국  참치야채전  꽃맛살샐러드 오이무침   포기김치 (김치:국내산) ",5.9,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,15,2586.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
3,2624,50,213,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 뼈해장국 (돼지고기:국내산) 해물청경채볶음  버섯메밀전 야채스틱*쌈장   포기김치 (김치:국내산) ,8.4,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,16,2574.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2624,52,242,327,0.0,토마토스파게티 (쌀:국내산) 양송이스프  미니햄버거 (돼지고기:국내산) 단호박범벅 무피클/음료   포기김치 (김치:국내산) ,9.3,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,17,2572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.3125,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0
5,2624,118,277,57,0.0,쌀밥/잡곡밥 (쌀:국내산) 닭곰탕 (닭고기:국내산) 임연수찜  어묵곤약볶음 돌나물초장   석박지 (김치:국내산) ,9.8,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,3,18,2506.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2624,65,205,329,0.0,쌀밥/잡곡밥 (쌀:국내산) 수제비국  아귀콩나물찜  새송이버섯볶음  봄동겉절이  포기김치 (김치:국내산) ,9.3,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,21,2559.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.0,0.06666666666666667,0.06666666666666667,0.0,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2624,41,208,378,0.0,굴소스파인볶음밥 (쌀:국내산) 가쯔오장국  찹쌀순대볶음  궁중떡찜  두반장가지나물  포기김치 (김치:국내산) ,9.6,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,22,2583.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2624,42,236,0,0.0,쌀밥/잡곡밥 (쌀:국내산) 알탕  동그랑땡전  마파두부 (돼지고기:국내산) 시금치나물  포기김치 (김치:국내산) ,10.5,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,23,2582.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
4,2624,53,251,293,0.0,참치회덮밥 (쌀:국내산) 미소장국  군만두  콘샐러드  바나나  포기김치 (김치:국내산) ,8.3,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,3,24,2571.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2624,98,275,59,0.0,쌀밥/잡곡밥 (쌀:국내산) 냉이된장찌개  누룽지탕수육 (돼지고기:국내산) 감자채볶음  청경채무침  포기김치 (김치:국내산) ,6.8,70.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,3,25,2526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
